Rank,Title,Employees,Sector,Industry,Hqlocation,Revenues,Profits
1,Walmart,2300000,Retailing,General Merchandisers,"Bentonville, AR",485873,13643
2,Berkshire Hathaway,367700,Financials,Insurance: Property and Casualty (Stock),"Omaha, NE",223604,24074
3,Apple,116000,Technology,"Computers, Office Equipment","Cupertino, CA",215639,45687
4,Exxon Mobil,72700,Energy,Petroleum Refining,"Irving, TX",205004,7840
5,McKesson,68000,Wholesalers,Wholesalers: Health Care,"San Francisco, CA",192487,2258
6,UnitedHealth Group,230000,Health Care,Health Care: Insurance and Managed Care,"Minnetonka, MN",184840,7017
7,CVS Health,204000,Health Care,Health Care: Pharmacy and Other Services,"Woonsocket, RI",177526,5317
8,General Motors,225000,Motor Vehicles & Parts,Motor Vehicles and Parts,"Detroit, MI",166380,9427
9,AT&T,268540,Telecommunications,Telecommunications,"Dallas, TX",163786,12976
10,Ford Motor,201000,Motor Vehicles & Parts,Motor Vehicles and Parts,"Dearborn, MI",151800,4596
11,AmerisourceBergen,18500,Wholesalers,Wholesalers: Health Care,"Chesterbrook, PA",146850,1427.9
12,Amazon.com,341400,Technology,Internet Services and Retailing,"Seattle, WA",135987,2371
13,General Electric,295000,Industrials,Industrial Machinery,"Boston, MA",126661,8831
14,Verizon,160900,Telecommunications,Telecommunications,"New York, NY",125980,13127
15,Cardinal Health,37300,Wholesalers,Wholesalers: Health Care,"Dublin, OH",121546,1427
16,Costco,172000,Retailing,General Merchandisers,"Issaquah, WA",118719,2350
17,Walgreens Boots Alliance,300000,Food & Drug Stores,Food and Drug Stores,"Deerfield, IL",117351,4173
18,Kroger,443000,Food & Drug Stores,Food and Drug Stores,"Cincinnati, OH",115337,1975
19,Chevron,55200,Energy,Petroleum Refining,"San Ramon, CA",107567,-497
20,Fannie Mae,7000,Financials,Diversified Financials,"Washington, DC",107162,12313
21,J.P. Morgan Chase,243355,Financials,Commercial Banks,"New York, NY",105486,24733
22,Express Scripts Holding,25600,Health Care,Health Care: Pharmacy and Other Services,"St. Louis, MO",100288,3404.4
23,Home Depot,406000,Retailing,Specialty Retailers: Other,"Atlanta, GA",94595,7957
24,Boeing,150540,Aerospace & Defense,Aerospace and Defense,"Chicago, IL",94571,4895
25,Wells Fargo,269100,Financials,Commercial Banks,"San Francisco, CA",94176,21938
26,Bank of America Corp.,208024,Financials,Commercial Banks,"Charlotte, NC",93662,17906
27,Alphabet,72053,Technology,Internet Services and Retailing,"Mountain View, CA",90272,19478
28,Microsoft,114000,Technology,Computer Software,"Redmond, WA",85320,16798
29,Anthem,53000,Health Care,Health Care: Insurance and Managed Care,"Indianapolis, IN",84863,2469.8
30,Citigroup,219000,Financials,Commercial Banks,"New York, NY",82386,14912
31,Comcast,159000,Telecommunications,Telecommunications,"Philadelphia, PA",80403,8695
32,IBM,414400,Technology,Information Technology Services,"Armonk, NY",79919,11872
33,State Farm Insurance Cos.,68234,Financials,Insurance: Property and Casualty (Mutual),"Bloomington, IL",76132,350.3
34,Phillips 66,14800,Energy,Petroleum Refining,"Houston, TX",72396,1555
35,Johnson & Johnson,126400,Health Care,Pharmaceuticals,"New Brunswick, NJ",71890,16540
36,Procter & Gamble,105000,Household Products,Household and Personal Products,"Cincinnati, OH",71726,10508
37,Valero Energy,9996,Energy,Petroleum Refining,"San Antonio, TX",70166,2289
38,Target,323000,Retailing,General Merchandisers,"Minneapolis, MN",69495,2737
39,Freddie Mac,5982,Financials,Diversified Financials,"McLean, VA",65665,7815
40,Lowe’s,240000,Retailing,Specialty Retailers: Other,"Mooresville, NC",65017,3093
41,Dell Technologies,138000,Technology,"Computers, Office Equipment","Round Rock, TX",64806,-1672
42,MetLife,58000,Financials,"Insurance: Life, Health (Stock)","New York, NY",63476,800
43,Aetna,49500,Health Care,Health Care: Insurance and Managed Care,"Hartford, CT",63155,2271
44,PepsiCo,264000,"Food, Beverages & Tobacco",Food Consumer Products,"Purchase, NY",62799,6329
45,Archer Daniels Midland,31800,"Food, Beverages & Tobacco",Food Production,"Chicago, IL",62346,1279
